index,Output Dialog,Respect of User (OD),Input Dialog,Unnamed: 3
7400, I don't know. Maybe we can open this up somehow. ,2, Oh God! So what do we do? ,
7401, I don't know. Maybe we can open this up somehow. ,2, Oh God! So what do we do? ,
7402, Oh. ,5, If you didn't have your shirt tucked into them. ,
7403, No... It's all glued together. ,5, Okay. ,
7404, No... It's all glued together. ,5, Okay. ,
7405," OK, but uh, I hope you realize this means we're gonna miss hearing about the specials. ",0, Alright. Now I would like to see you wearing nothing but them. Take your clothes off. ,
7406, I don't know. Maybe. ,6, Does that mean we have to bust it open? ,
7407, I don't know. Maybe. ,6, Does that mean we have to bust it open? ,
7408," Hey, do you want this done quick, or do you want this done right? ",6," C'mon hurry, hurry. ",
7409, I know! It's.. It's the foosball table. ,2, Oh my God! ,
7410, I know! It's.. It's the foosball table. ,2, Oh my God! ,
7411, OK. _B_ ,5," Alright, turn around. Time to see you from behind. ",
7412, Did that movie ever get made? ,2," All right, you know what? We don't have a choice. It's like I would have said in that sci-fi movie if I'd gotten the part. ""Those are our men in there, we have to get them out! Even if I have to sacrifice the most important thing in my life; my time-machine."" ",
7413, Did that movie ever get made? ,2," All right, you know what? We don't have a choice. It's like I would have said in that sci-fi movie if I'd gotten the part. ""Those are our men in there, we have to get them out! Even if I have to sacrifice the most important thing in my life; my time-machine."" ",
7414, We cant do this. ,8," Come, come here.  _B_ ",
7415," Well, you want me to uh, clench anything, or-... Susie? Susie. ",7," Oh, somebody's been doing his buns of steel video. ",
7416," Yeah!  If-if-if we did do this there would be a lot of pressure on me, yknow? Because youve been waiting a very long time and I wouldnt want to disappoint you. ",2, No!  Oyster? ,
7417," Huh? Where, whaddya mean? ",3, This is for the fourth grade. ,
7418, I do like that. ,0," Yeah but see I have nothing to compare it too. So even if youre horrible, how would I know? ",
7419," What, what's what you mean? ",2," Whaddo I mean. Whaddya mean, whaddo I mean? I mean underpants, mister, that's what I mean. ",
7420," Well, if it helps there were only three. So it would just be for tonight, right? ",7, Its harder for me! I have those four other women to compete with! ,
7421, That was in the fourth grade. How could you still be upset about that? ,2," My skirt, you lifted, kids laughing. I was Susie Underpants 'till I was 18. ",
7422, Stop it! Were doing this! Lets do it! ,9, Absolutely! It would just be one friend  helping out another friend.  ,
7423," Alright, I hope you realize you're not getting these underpants back. _B_ ",3," Well um, why don't you call me in 20 years and tell me if you're still upset about this. _B_ ",
7424, Yes! I've-I've never seen a roll like this in my life! ,9,  A new pair of shoes for the Chan-Chan man!  Yes! ,
7425, Okay!  ,7, Noo!! Okay!! ,
7426," Okay, ah umm, ah, a 8. Ah, a 6? ",8," That's right baby! Okay, what do I want now? ",
7427, I have some moves. ,1," Umm, do you have any uhh, moves? ",
7428, 8. 8! ,8, Pick a number! That is your only job! ,
7429," Yeah, lets just forget it. ",8," I have no moves.  Okay, whatcha doin there?!  Oh yknow what? Im sorry, this is just too weird. ",
7430," If you get this one, we buy everybody here a steak dinner! ",4, Thank you! ,
7431, Okay!  ,7, What if I turn out the lights?  ,
7432, No. ,4," There you go. You put on a tuxedo! Now that wasnt so scary, was it? ",
7433, Oh yeah. ,6, Okay!  ,
7434," Yeah okay. Well, whats the next little bit? ",6," Im telling you, just a little bit at a time. ",
7435,  Yeah? ,7, Chandler? ,
7436, Yeah. Youre right. Hey I-I can do that. ,3," Getting married.  Okay. Okay. You can, you can do that too! Just like youve done everything else! ",
7437, Oh my God! ,4, Thats the couch. Commercial Break _B_ ,
7438, Noo! ,1,  We're not really gonna buy these people steak dinners are we? ,
7439," Okay, excuse me for a minute.  ",0, Yeah. ,
7440," Oh, okay!  _B_ ",7," I know! Ill tell you something, we are gonna do that again! ",
7441," Ahh, ooh, try a hard 8. ",6," Okay, good! Okay, what do I want now? ",
7442," Ross, I am not gonna run away again! I just want to get a little fresh air. ",4," WhHeyWhoa-whoa, where, where you going?! ",
7443, Two fours. ,7, What? ,
7444, Okay.  ,5, Okay. ,
7445, Oh fresh air!  ,9, Okay.  ,
7446," Thank you, Mister Drunken Gambler! Okay, you get this and uh, we get the biggest suite in the place!  Wait-wait-wait-wait! We  get the biggest suite in the place. ",5,  Don't you let her go! You're a lucky guy! ,
7447,  Yes!! I love you! I can't even remember what we were fighting about! ,8," All right, biggest suite in the place. Come on!  ",
7448, Another hard 8. ,6," Oh, that's because I had lunch with RichMe neither! Okay, what do I want now? ",
7449, Joey? ,8, I'm sorry that I borrowed your gloves _B_ _B_ _B_ ,
7450,  Do you really find this attractive on him? ,2, AH YEAAAAH! ,
7451,  Do you really find this attractive on him? ,2, AH YEAAAAH! ,
7452," Okay, okay, I tell you what. You roll another hard eight;  and we get married here tonight. Drunken ",7, Hard 8?! We should call it easy 8! ,
7453, Joey! ,6, Ma? ,
7454, I think this is the first time in our marriage that I've felt like the more attractive one. ,8,"  Oh, yeah!  Are you telling me you... you're not even... a little turned on by Monica, right now?  ",
7455, I think this is the first time in our marriage that I've felt like the more attractive one. ,8,"  Oh, yeah!  Are you telling me you... you're not even... a little turned on by Monica, right now?  ",
7456," Oh, no no no, she took off with my clothes. ",1," Chandler? What're you still doin' here, I though you guys took off. ",
7457, Not exactly. . . I'm wearin panties. ,1, Are you naked in there? ,
7458, You roll another hard eight and we get married here tonight. ,9, What did you just say? ,
7459," No, no, this is the first time. ",4," Huh, you uh, you always wear panties? ",
7460, Yes! I love you! I've never loved anybody as much as I love you. ,9, Are you serious?! ,
7461," Its incredible, I mean one minute shes inside you and then 47 hours later here she is. ",6," Oh my God! Shes amazing. Oh, oh Im so glad you guys got drunk and had sex! ",
7462," I was not trying them out, Susie asked me to wear them. ",4," Wow, talk about your bad luck, I mean, the first time you try panties and someone walks off with your clothes. ",
7463," Okay, so if an eight comes up, we take it as a sign and we do it! {Whoa! Where have I heard that before? Matthew Perry talking about signs in Las Vegas. I guess it must've been some movie I saw.} What do you say? ",2, I've never loved anybody as much as I love you. ,
7464, I was making a coconut phone with the professor. ,4, Where the hell have you been?! ,
7465," And we're also gonna buy you tiny, bird hearing-aids.  ",5,"  Don't worry, you guys, we're gonna get you out of there. ",
7466," And we're also gonna buy you tiny, bird hearing-aids.  ",5,"  Don't worry, you guys, we're gonna get you out of there. ",
7467," Okay-dokay, you've each won a game and I've lost what's felt like a year of my life. So everybody goes home a winner. ",9, And that's how it's done!  ,
7468," Okay-dokay, you've each won a game and I've lost what's felt like a year of my life. So everybody goes home a winner. ",9, And that's how it's done!  ,
7469," No. I'm not letting you or anybody else see, ever. ",1," Well, let me see. ",
7470, Okay! Come on! Let's go! All right!  ,5, Okay! ,
7471, What?! ,3, Richard told Monica he wants to marry her! ,
7472, What's the matter? ,2, Okay. Here goes. ,
7473, What's the matter? ,2, Okay. Here goes. ,
7474,  Okay! That's a four! And where-where's the other one? Drunken ,5, Okay! Come on! Let's go! All right!  ,
7475, MyOh my God! ,5," Yeah! Yeah, Ive been trying to find ya to tell to stop messing with her and maybe I would have if these  damn boat shoes wouldnt keep flying off! ",
7476, Should I use my invisibility to fight crime or for evil? ,4, That's what I'm thinking. ,
7477, Should I use my invisibility to fight crime or for evil? ,4, That's what I'm thinking. ,
7478, I understand. ,6, I need to say goodbye to the table first. ,
7479, I understand. ,6, I need to say goodbye to the table first. ,
7480, All right!  ,7," Nobody move!  Okay, you look that way; I'll look this way! ",
7481, Hes not supposed to ask my girlfriend to marry him! Im supposed to do that! ,1, I know! They suck!! ,
7482," I don't know. Except that, for one last time...  Good game, good game, good game, good game, good game, good game, good game. ",4," Okay. Table, you have given us so many great times. And you guys, Jordan, Victor, Joel... All of you guys. What can I say? You guys make us look good. You wanna say anything? ",
7483," I don't know. Except that, for one last time...  Good game, good game, good game, good game, good game, good game, good game. ",4," Okay. Table, you have given us so many great times. And you guys, Jordan, Victor, Joel... All of you guys. What can I say? You guys make us look good. You wanna say anything? ",
7484," No, no, you don't have to see. ",3, What? Let me see. _B_ ,
7485, Here it is! Here it is! ,9, All right!  ,
7486, Well what Yknow what Im gonna do? Im gonna go over there; Im gonna kick his ass!  Will you help me?! ,4, I know! ,
7487," Well, I can't do it either.  ",0," Okay, here we go. I can't do it. ",
7488," Well, I can't do it either.  ",0," Okay, here we go. I can't do it. ",
7489," Alright, one of you give me your underpants. ",7, Hi Tushie. ,
7490, It's a four. ,8, That could be a four or a five. It's your call.  ,
7491, Youre right. ,6," Look, Chandler I dont think us getting our asses kicked is a solution. Okay? Just go and find Monica! ",
7492," So, do you know what youre gonna call her yet? ",5, Ohhh.  ,
7493, How can you not be wearing any underwear? ,2," Can't help you, I'm not wearing any. ",
7494," We have to bust it open, but neither of us can do it! ",8," Yeah, they're stuck inside the table! ",
7495," We have to bust it open, but neither of us can do it! ",8," Yeah, they're stuck inside the table! ",
7496, Okay.  Im gonna get the ring! Im gonna get the ring!  Im gonna go find her and  Im just going to propose! ,6, Yeah! ,
7497, Alright look Ross I'll give you 50 dollars for your underpants. _B_ ,0," Oh, I'm gettin' heat from the guy in the hot pink thong. ",
7498, Okay great. ,9, Okay. ,
7499," Hey Phoebs, can I have the milk after you? ",6, Hi. _B_ _B_ ,
7500, What?! ,3, Dude-dude-dude! ,
7501, So then I guess Ferdinad is out. ,7," Thats not her name! Im sorry, she just doesnt feel like an Isabella. ",
7502, You do? ,6," Ugh, easy for you to say, you already know what your kids names are going to be. ",
7503, What?  ,4,  There he is!! ,
7504," Oh no, its gonna be named after some snack or baked good isnt it? ",6," Yeah, Ive had them picked out since I was fourteen. ",
7505,"  Ok, look! Enough is enough! ",5," Ok, so it's a tie again, 41 to 41. ",
7506,"  Ok, look! Enough is enough! ",5," Ok, so it's a tie again, 41 to 41. ",
7507, Ross!  ,7, Youre not getting away this time mister! Unless you want that ass kicking we talked about! ,
7508," Monica, that was also true an hour ago! I mean, please, look at you! Your hand is blistered, you can barely stand, your hair is inexplicable! Ok, you've already proven you are just as good as he is, now we've missed our dinner reservations, so now let's just go upstairs, order room service, take a shower and shave your head! ",6," No, I have just to have two more points to beat him! ",
7509," Monica, that was also true an hour ago! I mean, please, look at you! Your hand is blistered, you can barely stand, your hair is inexplicable! Ok, you've already proven you are just as good as he is, now we've missed our dinner reservations, so now let's just go upstairs, order room service, take a shower and shave your head! ",6," No, I have just to have two more points to beat him! ",
